Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
26. Jul;Rapid Wien;Salzburg;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
27. Jul;Admira;Wolfsberger AC;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
27. Jul;WSG Tirol;Austria Wien;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
28. Jul;LASK Linz;Altach;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
28. Jul;Mattersburg;Hartberg;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
28. Jul;Sturm Graz;St. Poelten;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
03. Aug;Altach;WSG Tirol;3;2;Home win;+;+;+;5;+;-;-;2;2;V;0
03. Aug;Austria Wien;LASK Linz;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
03. Aug;Hartberg;Admira;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
04. Aug;Salzburg;Mattersburg;4;1;Home win;+;+;+;5;+;-;-;3;0;L;0
04. Aug;St. Poelten;Rapid Wien;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
04. Aug;Wolfsberger AC;Sturm Graz;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
10. Aug;Admira;LASK Linz;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
10. Aug;Rapid Wien;Altach;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
10. Aug;Salzburg;Wolfsberger AC;5;2;Home win;+;+;+;7;+;-;-;2;1;V;0
11. Aug;Hartberg;Sturm Graz;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
11. Aug;Mattersburg;Austria Wien;1;5;Away win;+;+;+;6;+;-;-;0;2;V;0
11. Aug;WSG Tirol;St. Poelten;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
17. Aug;LASK Linz;WSG Tirol;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
17. Aug;St. Poelten;Salzburg;0;6;Away win;+;+;+;6;-;-;+;0;2;V;0
17. Aug;Wolfsberger AC;Mattersburg;5;0;Home win;+;+;+;5;-;+;-;2;0;L;0
18. Aug;Altach;Hartberg;3;3;Draw;+;+;+;6;+;-;-;0;3;V;0
18. Aug;Austria Wien;Admira;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
18. Aug;Sturm Graz;Rapid Wien;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
24. Aug;Mattersburg;St. Poelten;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
24. Aug;Rapid Wien;LASK Linz;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
24. Aug;Wolfsberger AC;Altach;5;2;Home win;+;+;+;7;+;-;-;3;1;L;0
25. Aug;Hartberg;Austria Wien;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
25. Aug;Salzburg;Admira;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
25. Aug;Sturm Graz;WSG Tirol;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
31. Aug;Admira;Mattersburg;1;3;Away win;+;+;+;4;+;-;-;1;2;V;0
31. Aug;LASK Linz;Wolfsberger AC;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
31. Aug;WSG Tirol;Salzburg;1;5;Away win;+;+;+;6;+;-;-;0;3;V;0
01. Sep;Altach;Sturm Graz;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
01. Sep;Austria Wien;Rapid Wien;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
01. Sep;St. Poelten;Hartberg;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
14. Sep;Mattersburg;WSG Tirol;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
14. Sep;Salzburg;Hartberg;7;2;Home win;+;+;+;9;+;-;-;2;1;L;0
14. Sep;Sturm Graz;LASK Linz;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
15. Sep;Altach;St. Poelten;6;0;Home win;+;+;+;6;-;+;-;3;0;L;0
15. Sep;Rapid Wien;Admira;5;0;Home win;+;+;+;5;-;+;-;1;0;L;0
15. Sep;Wolfsberger AC;Austria Wien;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
21. Sep;Admira;St. Poelten;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21. Sep;Mattersburg;Sturm Graz;3;3;Draw;+;+;+;6;+;-;-;1;2;L;0
21. Sep;WSG Tirol;Rapid Wien;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
22. Sep;Austria Wien;Altach;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
22. Sep;Hartberg;Wolfsberger AC;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
22. Sep;LASK Linz;Salzburg;2;2;Draw;+;+;+;4;+;-;-;2;1;L;0
28. Sep;Salzburg;Austria Wien;4;1;Home win;+;+;+;5;+;-;-;2;1;V;0
28. Sep;St. Poelten;LASK Linz;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
28. Sep;Wolfsberger AC;WSG Tirol;2;2;Draw;+;+;+;4;+;-;-;0;0;L;0
29. Sep;Altach;Mattersburg;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
29. Sep;Rapid Wien;Hartberg;3;3;Draw;+;+;+;6;+;-;-;1;1;L;0
29. Sep;Sturm Graz;Admira;4;1;Home win;+;+;+;5;+;-;-;1;0;L;0
5 Oct;Admira;WSG Tirol;3;1;Home win;+;+;+;4;+;-;-;3;1;V;0
5 Oct;Mattersburg;Rapid Wien;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
5 Oct;Salzburg;Altach;6;0;Home win;+;+;+;6;-;+;-;3;0;L;0
6 Oct;Austria Wien;Sturm Graz;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
6 Oct;Hartberg;LASK Linz;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
6 Oct;Wolfsberger AC;St. Poelten;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
19 Oct;Altach;Admira;1;4;Away win;+;+;+;5;+;-;-;0;3;V;0
19 Oct;LASK Linz;Mattersburg;7;2;Home win;+;+;+;9;+;-;-;3;2;V;0
19 Oct;Sturm Graz;Salzburg;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20 Oct;Rapid Wien;Wolfsberger AC;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20 Oct;St. Poelten;Austria Wien;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
20 Oct;WSG Tirol;Hartberg;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
26 Oct;Austria Wien;WSG Tirol;2;3;Away win;+;+;+;5;+;-;-;0;2;V;0
26 Oct;Hartberg;Mattersburg;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
26 Oct;St. Poelten;Sturm Graz;0;4;Away win;+;+;+;4;-;-;+;0;0;V;0
27 Oct;Altach;LASK Linz;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
27 Oct;Salzburg;Rapid Wien;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
27 Oct;Wolfsberger AC;Admira;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
02. Nov;Mattersburg;Salzburg;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
02. Nov;Rapid Wien;St. Poelten;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
