Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
12. Jul;Jablonec;Bohemians;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
13. Jul;Banik Ostrava;Slovan Liberec;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
13. Jul;Pribram;Teplice;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
13. Jul;Viktoria Plzen;Sigma Olomouc;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
14. Jul;Ceske Budejov.;Opava;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
14. Jul;Mlada Boleslav;Karvina;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
14. Jul;Sparta Prague;Slovacko;0;2;Away win;+;-;-;2;-;-;+;0;2;V;0
15. Jul;Zlin;Slavia Prague;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
19. Jul;Slovan Liberec;Viktoria Plzen;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
20. Jul;Opava;Pribram;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
20. Jul;Sigma Olomouc;Zlin;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
20. Jul;Slovacko;Ceske Budejov.;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
20. Jul;Sparta Prague;Jablonec;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
21. Jul;Bohemians;Mlada Boleslav;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
21. Jul;Teplice;Slavia Prague;1;5;Away win;+;+;+;6;+;-;-;0;3;V;0
22. Jul;Karvina;Banik Ostrava;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
26. Jul;Banik Ostrava;Teplice;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
27. Jul;Pribram;Bohemians;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
27. Jul;Viktoria Plzen;Karvina;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
27. Jul;Zlin;Slovan Liberec;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
28. Jul;Jablonec;Slovacko;6;0;Home win;+;+;+;6;-;+;-;1;0;L;0
28. Jul;Mlada Boleslav;Opava;4;1;Home win;+;+;+;5;+;-;-;2;1;V;0
28. Jul;Slavia Prague;Sigma Olomouc;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
29. Jul;Ceske Budejov.;Sparta Prague;2;2;Draw;+;+;+;4;+;-;-;2;0;L;0
02. Aug;Opava;Banik Ostrava;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
03. Aug;Bohemians;Viktoria Plzen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
03. Aug;Slovacko;Zlin;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
03. Aug;Slovan Liberec;Sigma Olomouc;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
04. Aug;Ceske Budejov.;Jablonec;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
04. Aug;Karvina;Slavia Prague;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
04. Aug;Sparta Prague;Pribram;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
09. Aug;Zlin;Teplice;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Aug;Banik Ostrava;Bohemians;4;2;Home win;+;+;+;6;+;-;-;2;1;V;0
10. Aug;Pribram;Ceske Budejov.;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
10. Aug;Sigma Olomouc;Karvina;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
10. Aug;Slavia Prague;Slovan Liberec;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
11. Aug;Jablonec;Opava;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
11. Aug;Mlada Boleslav;Sparta Prague;4;3;Home win;+;+;+;7;+;-;-;2;1;L;0
11. Aug;Viktoria Plzen;Slovacko;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
16. Aug;Ceske Budejov.;Slavia Prague;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
17. Aug;Bohemians;Sigma Olomouc;3;2;Home win;+;+;+;5;+;-;-;0;1;V;0
17. Aug;Opava;Zlin;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
17. Aug;Slovacko;Pribram;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
18. Aug;Jablonec;Mlada Boleslav;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
18. Aug;Karvina;Slovan Liberec;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
18. Aug;Sparta Prague;Banik Ostrava;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
18. Aug;Teplice;Viktoria Plzen;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
23. Aug;Banik Ostrava;Slovacko;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
23. Aug;Sigma Olomouc;Teplice;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
24. Aug;Pribram;Jablonec;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
24. Aug;Slavia Prague;Bohemians;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
24. Aug;Zlin;Karvina;1;4;Away win;+;+;+;5;+;-;-;0;1;V;0
25. Aug;Mlada Boleslav;Ceske Budejov.;4;2;Home win;+;+;+;6;+;-;-;2;2;V;0
25. Aug;Slovan Liberec;Sparta Prague;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
25. Aug;Viktoria Plzen;Opava;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
31. Aug;Bohemians;Slovan Liberec;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
31. Aug;Pribram;Viktoria Plzen;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
31. Aug;Slovacko;Mlada Boleslav;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
01. Sep;Ceske Budejov.;Zlin;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
01. Sep;Jablonec;Banik Ostrava;2;1;Home win;+;+;-;3;+;-;-;2;0;L;0
01. Sep;Opava;Slavia Prague;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
01. Sep;Sparta Prague;Sigma Olomouc;3;3;Draw;+;+;+;6;+;-;-;1;2;L;0
01. Sep;Teplice;Karvina;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
13. Sep;Sigma Olomouc;Opava;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
14. Sep;Mlada Boleslav;Pribram;6;0;Home win;+;+;+;6;-;+;-;3;0;L;0
