Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
12. Jul;FC Midtjylland;Esbjerg;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
14. Jul;AC Horsens;Nordsjaelland;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
14. Jul;Brondby IF;Silkeborg;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
14. Jul;Lyngby;Aalborg BK;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
14. Jul;Odense BK;FC Kobenhavn;2;3;Away win;+;+;+;5;+;-;-;2;1;L;0
14. Jul;SonderjyskE;Randers FC;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
15. Jul;Hobro IK;AGF Aarhus;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
19. Jul;FC Kobenhavn;AGF Aarhus;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
21. Jul;Aalborg BK;SonderjyskE;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
21. Jul;Esbjerg;Hobro IK;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21. Jul;FC Midtjylland;Nordsjaelland;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
21. Jul;Randers FC;Brondby IF;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
21. Jul;Silkeborg;AC Horsens;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
22. Jul;Odense BK;Lyngby;4;1;Home win;+;+;+;5;+;-;-;1;1;L;0
26. Jul;Lyngby;SonderjyskE;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
27. Jul;AC Horsens;FC Kobenhavn;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
28. Jul;AGF Aarhus;FC Midtjylland;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
28. Jul;Brondby IF;Odense BK;3;2;Home win;+;+;+;5;+;-;-;1;1;L;0
28. Jul;Hobro IK;Randers FC;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
28. Jul;Nordsjaelland;Esbjerg;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
29. Jul;Aalborg BK;Silkeborg;3;1;Home win;+;+;+;4;+;-;-;3;0;L;0
02. Aug;Silkeborg;Hobro IK;2;3;Away win;+;+;+;5;+;-;-;1;1;V;0
03. Aug;SonderjyskE;FC Kobenhavn;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
04. Aug;Brondby IF;AC Horsens;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
04. Aug;Esbjerg;Odense BK;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
04. Aug;FC Midtjylland;Aalborg BK;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
04. Aug;Randers FC;Nordsjaelland;3;1;Home win;+;+;+;4;+;-;-;3;0;L;0
05. Aug;Lyngby;AGF Aarhus;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
09. Aug;FC Kobenhavn;Lyngby;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
09. Aug;Odense BK;Randers FC;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
11. Aug;Aalborg BK;Esbjerg;4;0;Home win;+;+;+;4;-;+;-;4;0;L;0
11. Aug;AC Horsens;FC Midtjylland;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
11. Aug;Hobro IK;Brondby IF;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
11. Aug;Nordsjaelland;Silkeborg;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
12. Aug;SonderjyskE;AGF Aarhus;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
16. Aug;Nordsjaelland;Odense BK;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
16. Aug;Randers FC;FC Kobenhavn;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
18. Aug;Brondby IF;Aalborg BK;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
18. Aug;Esbjerg;Lyngby;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
18. Aug;FC Midtjylland;Hobro IK;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
18. Aug;Silkeborg;SonderjyskE;3;3;Draw;+;+;+;6;+;-;-;1;0;L;0
19. Aug;AGF Aarhus;AC Horsens;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
23. Aug;Hobro IK;Odense BK;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
25. Aug;Brondby IF;AGF Aarhus;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
25. Aug;Esbjerg;Silkeborg;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
25. Aug;FC Kobenhavn;Nordsjaelland;3;1;Home win;+;+;+;4;+;-;-;1;1;L;0
