Team;AT;HT;Score;Date Range;Home Away;League;Season;Date;Table Name;0. Games;1. GS;1a WDL;1b WDL;1c Goals;1d Goals;2. GA;2a xG;2b xG;3. Pts;3a xG Against;3b xG Against;4. xG;4a Net xG;4b Net xG;5. xGA;5a Points;5b Points;6. Net xG;7. xG Pts;D;GAvsXg+ve;GAvsXg-ve;GD;GSvsXg+ve;GSvsXg-ve;L;Lower xG;Pts vs xG;Pts vs xG +ve;Pts vs xG -ve;RankCalc;Upper xG;W;x. +ve GD;x. -ve GD;x. GD vs NetXg+ve;x. GD vs NetXg-ve;ZN([D]);ZN([L]);ZN([W])
Aves;Boavista;Aves;0-1;Wahr;Home;Portuguese Liga;2019/20;26.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.2;1;1;0.5;1;1;-0.3;0;;;-0.5;-1;+0.2;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.7;;0;1;0
Aves;Moreirense;Aves;0-1;Wahr;Home;Portuguese Liga;2019/20;29.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.6;1;1;0.9;1;1;-0.3;0;;;-0.2;-1;+0.6;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.7;;0;1;0
Aves;Santa Clara;Aves;0-1;Wahr;Home;Portuguese Liga;2019/20;04.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.1;1;1;1.3;1;1;-0.1;1;;+0.3;;-1;+1.1;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+0.9;;0;1;0
Aves;Sp Lisbon;Aves;0-1;Wahr;Home;Portuguese Liga;2019/20;30.09.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.3;1;1;1.3;1;1;-1.0;0;;+0.3;;-1;+0.3;;1;-0.23;0;+0;;-0.001;0.36;;;-1;;0.0;0;1;0
Aves;Tondela;Aves;0-1;Wahr;Home;Portuguese Liga;2019/20;05.10.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.4;1;1;0.9;1;1;-0.5;0;;;-0.1;-1;+0.4;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.5;;0;1;0
Belenenses;Boavista;Belenenses;0-1;Wahr;Home;Portuguese Liga;2019/20;30.08.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;0.4;1;1;0.4;3;;;-0.6;-1;+0.8;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.4;;0;1;0
Belenenses;Moreirense;Belenenses;0-1;Wahr;Home;Portuguese Liga;2019/20;11.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.5;1;1;1.9;1;1;-0.4;0;;+0.9;;-1;+1.5;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.6;;0;1;0
Belenenses;Setubal;Belenenses;0-1;Wahr;Home;Portuguese Liga;2019/20;18.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.3;1;1;0.4;1;1;0.9;3;;;-0.6;-1;+1.3;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.9;;0;1;0
Benfica;Sp Braga;Benfica;0-1;Wahr;Home;Portuguese Liga;2019/20;15.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.7;1;1;1.4;1;1;0.3;1;;+0.4;;-1;+1.7;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.3;;0;1;0
Boavista;Famalicao;Boavista;0-1;Wahr;Home;Portuguese Liga;2019/20;11.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.5;1;1;0.9;1;1;0.6;3;;;-0.1;-1;+1.5;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.6;;0;1;0
Boavista;Gil Vicente;Boavista;0-1;Wahr;Home;Portuguese Liga;2019/20;29.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.2;1;1;1.0;1;1;0.2;1;;;-0.1;-1;+1.2;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.2;;0;1;0
Boavista;Maritimo;Boavista;0-1;Wahr;Home;Portuguese Liga;2019/20;08.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;0.5;1;1;0.0;1;;;-0.5;-1;+0.5;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.0;;0;1;0
Boavista;Moreirense;Boavista;0-1;Wahr;Home;Portuguese Liga;2019/20;06.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.9;1;1;0.3;1;1;2.6;3;;;-0.7;-1;+2.9;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+3.6;;0;1;0
Boavista;Porto;Boavista;0-1;Wahr;Home;Portuguese Liga;2019/20;10.11.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.6;1;1;0.6;1;1;0.1;1;;;-0.4;-1;+0.6;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.1;;0;1;0
Famalicao;Portimonense;Famalicao;0-1;Wahr;Home;Portuguese Liga;2019/20;30.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.9;1;1;1.7;1;1;-0.9;0;;+0.7;;-1;+0.9;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.1;;0;1;0
Famalicao;Santa Clara;Famalicao;0-1;Wahr;Home;Portuguese Liga;2019/20;26.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;1.3;1;1;-0.4;0;;+0.3;;-1;+0.8;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.6;;0;1;0
Gil Vicente;Benfica;Gil Vicente;0-1;Wahr;Home;Portuguese Liga;2019/20;24.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.2;1;1;0.9;1;1;0.3;1;;;-0.1;-1;+1.2;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.3;;0;1;0
Guimaraes;Benfica;Guimaraes;0-1;Wahr;Home;Portuguese Liga;2019/20;04.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.7;1;1;0.6;1;1;0.0;1;;;-0.4;-1;+0.7;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.0;;0;1;0
