Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
19. Jul;1860 Munchen;Pr. Munster;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
20. Jul;Hansa Rostock;Viktoria Koln;3;3;Draw;+;+;+;6;+;-;-;3;1;L;0
20. Jul;Kaiserslautern;Unterhaching;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20. Jul;Magdeburg;Braunschweig;2;4;Away win;+;+;+;6;+;-;-;1;3;V;0
20. Jul;Meppen;Zwickau;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
20. Jul;MSV Duisburg;Sonnenhof;4;1;Home win;+;+;+;5;+;-;-;1;1;L;0
20. Jul;Wurzburger K.;Bayern Munich B;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
21. Jul;Chemnitzer;Mannheim;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
21. Jul;KFC Uerdingen;Hallescher FC;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
22. Jul;Carl Zeiss Jena;FC Ingolstadt;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
26. Jul;Bayern Munich B;KFC Uerdingen;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
27. Jul;Braunschweig;1860 Munchen;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
27. Jul;FC Ingolstadt;MSV Duisburg;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
27. Jul;Hallescher FC;Hansa Rostock;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
27. Jul;Mannheim;Meppen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
27. Jul;Pr. Munster;Carl Zeiss Jena;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
27. Jul;Sonnenhof;Kaiserslautern;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
27. Jul;Unterhaching;Wurzburger K.;5;4;Home win;+;+;+;9;+;-;-;2;3;V;0
28. Jul;Viktoria Koln;Chemnitzer;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
28. Jul;Zwickau;Magdeburg;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
30. Jul;Carl Zeiss Jena;Braunschweig;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
30. Jul;Hansa Rostock;Bayern Munich B;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
30. Jul;Kaiserslautern;FC Ingolstadt;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
30. Jul;KFC Uerdingen;Unterhaching;2;2;Draw;+;+;+;4;+;-;-;2;2;V;0
30. Jul;Wurzburger K.;Sonnenhof;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
31. Jul;1860 Munchen;Zwickau;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
31. Jul;Chemnitzer;Meppen;2;4;Away win;+;+;+;6;+;-;-;1;0;L;0
31. Jul;Magdeburg;Mannheim;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
31. Jul;MSV Duisburg;Pr. Munster;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
31. Jul;Viktoria Koln;Hallescher FC;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
02. Aug;FC Ingolstadt;Wurzburger K.;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
03. Aug;Bayern Munich B;Viktoria Koln;2;5;Away win;+;+;+;7;+;-;-;0;3;V;0
03. Aug;Hallescher FC;Chemnitzer;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
03. Aug;Meppen;Magdeburg;1;3;Away win;+;+;+;4;+;-;-;1;0;L;0
03. Aug;Pr. Munster;Kaiserslautern;3;2;Home win;+;+;+;5;+;-;-;0;1;V;0
03. Aug;Sonnenhof;KFC Uerdingen;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
03. Aug;Unterhaching;Hansa Rostock;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
04. Aug;Braunschweig;MSV Duisburg;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
04. Aug;Zwickau;Carl Zeiss Jena;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
05. Aug;Mannheim;1860 Munchen;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
16. Aug;Chemnitzer;Magdeburg;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
17. Aug;1860 Munchen;Meppen;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
17. Aug;Hansa Rostock;Sonnenhof;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
17. Aug;KFC Uerdingen;FC Ingolstadt;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
17. Aug;MSV Duisburg;Zwickau;3;1;Home win;+;+;+;4;+;-;-;0;0;V;0
17. Aug;Viktoria Koln;Unterhaching;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
17. Aug;Wurzburger K.;Pr. Munster;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
18. Aug;Carl Zeiss Jena;Mannheim;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
18. Aug;Kaiserslautern;Braunschweig;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
19. Aug;Hallescher FC;Bayern Munich B;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
23. Aug;FC Ingolstadt;Hansa Rostock;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
24. Aug;Bayern Munich B;Chemnitzer;2;2;Draw;+;+;+;4;+;-;-;0;0;V;0
24. Aug;Braunschweig;Wurzburger K.;5;2;Home win;+;+;+;7;+;-;-;2;2;L;0
24. Aug;Magdeburg;1860 Munchen;5;1;Home win;+;+;+;6;+;-;-;4;0;L;0
24. Aug;Meppen;Carl Zeiss Jena;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
24. Aug;Pr. Munster;KFC Uerdingen;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
24. Aug;Sonnenhof;Viktoria Koln;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
