Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
24. Aug;Aris Thessalon.;OFI Crete;1;1;Draw;+;-;-;2;+;-;-;0
24. Aug;Lamia;Panathinaikos;1;1;Draw;+;-;-;2;+;-;-;0
24. Aug;Olympiakos;Ast. Tripolis;1;0;Home win;-;-;-;1;-;+;-;0
25. Aug;AEK Athens;Xanthi;1;2;Away win;+;+;-;3;+;-;-;0
25. Aug;Atromitos;AEL Larissa;1;1;Draw;+;-;-;2;+;-;-;0
25. Aug;Panionios;Volos NFC;1;2;Away win;+;+;-;3;+;-;-;0
25. Aug;PAOK Saloniki;Panaitolikos;2;1;Home win;+;+;-;3;+;-;-;0
31. Aug;Panaitolikos;Xanthi;1;2;Away win;+;+;-;3;+;-;-;0
31. Aug;Panathinaikos;OFI Crete;1;3;Away win;+;+;+;4;+;-;-;0
31. Aug;Volos NFC;Aris Thessalon.;1;0;Home win;-;-;-;1;-;+;-;0
01. Sep;AEL Larissa;Olympiakos;0;1;Away win;-;-;-;1;-;-;+;0
01. Sep;Ast. Tripolis;AEK Athens;2;3;Away win;+;+;+;5;+;-;-;0
01. Sep;Lamia;Atromitos;2;2;Draw;+;+;+;4;+;-;-;0
01. Sep;PAOK Saloniki;Panionios;2;1;Home win;+;+;-;3;+;-;-;0
14. Sep;Atromitos;PAOK Saloniki;2;3;Away win;+;+;+;5;+;-;-;0
14. Sep;OFI Crete;Panaitolikos;3;1;Home win;+;+;+;4;+;-;-;0
14. Sep;Olympiakos;Volos NFC;5;0;Home win;+;+;+;5;-;+;-;0
15. Sep;AEK Athens;Lamia;2;0;Home win;+;-;-;2;-;+;-;0
15. Sep;Aris Thessalon.;Panathinaikos;4;0;Home win;+;+;+;4;-;+;-;0
15. Sep;Panionios;AEL Larissa;1;0;Home win;-;-;-;1;-;+;-;0
15. Sep;Xanthi;Ast. Tripolis;2;1;Home win;+;+;-;3;+;-;-;0
21. Sep;Ast. Tripolis;Atromitos;2;1;Home win;+;+;-;3;+;-;-;0
