380 matches played / 380;;;Home wins:ÿ;44%;;Over 1.5 goals:ÿ;75%;Goals:ÿ;1063;Home goals per match:ÿ;;1.56;2013;England;1
Aug;;May;Draws:ÿ;28%;;Over 2.5 goals:ÿ;56%;Goals per match:ÿ;2.8;Away goals per match:ÿ;;1.24;2013;England;1
100.0% completed ;;;Away wins:ÿ;28%;;Over 3.5 goals:ÿ;32%;;;Both teams scored:ÿ;;57%;2013;England;1
380 matches played / 380;;;Home wins:ÿ;47%;;Over 1.5 goals:ÿ;73%;Goals:ÿ;1052;Home goals per match:ÿ;;1.57;2014;England;1
Aug;;May;Draws:ÿ;21%;;Over 2.5 goals:ÿ;52%;Goals per match:ÿ;2.77;Away goals per match:ÿ;;1.19;2014;England;1
100.0% completed ;;;Away wins:ÿ;32%;;Over 3.5 goals:ÿ;33%;;;Both teams scored:ÿ;;46%;2014;England;1
380 matches played / 380;;;Home wins:ÿ;45%;;Over 1.5 goals:ÿ;72%;Goals:ÿ;975;Home goals per match:ÿ;;1.47;2015;England;1
Aug;;May;Draws:ÿ;24%;;Over 2.5 goals:ÿ;48%;Goals per match:ÿ;2.57;Away goals per match:ÿ;;1.09;2015;England;1
100.0% completed ;;;Away wins:ÿ;30%;;Over 3.5 goals:ÿ;26%;;;Both teams scored:ÿ;;49%;2015;England;1
380 matches played / 380;;;Home wins:ÿ;41%;;Over 1.5 goals:ÿ;73%;Goals:ÿ;1026;Home goals per match:ÿ;;1.49;2016;England;1
Aug;;May;Draws:ÿ;28%;;Over 2.5 goals:ÿ;53%;Goals per match:ÿ;2.7;Away goals per match:ÿ;;1.21;2016;England;1
100.0% completed ;;;Away wins:ÿ;31%;;Over 3.5 goals:ÿ;31%;;;Both teams scored:ÿ;;52%;2016;England;1
380 matches played / 380;;;Home wins:ÿ;49%;;Over 1.5 goals:ÿ;77%;Goals:ÿ;1064;Home goals per match:ÿ;;1.6;2017;England;1
Aug;;May;Draws:ÿ;22%;;Over 2.5 goals:ÿ;54%;Goals per match:ÿ;2.8;Away goals per match:ÿ;;1.2;2017;England;1
100.0% completed ;;;Away wins:ÿ;29%;;Over 3.5 goals:ÿ;32%;;;Both teams scored:ÿ;;51%;2017;England;1
380 matches played / 380;;;Home wins:ÿ;46%;;Over 1.5 goals:ÿ;74%;Goals:ÿ;1018;Home goals per match:ÿ;;1.53;2018;England;1
Aug;;May;Draws:ÿ;26%;;Over 2.5 goals:ÿ;51%;Goals per match:ÿ;2.68;Away goals per match:ÿ;;1.15;2018;England;1
100.0% completed ;;;Away wins:ÿ;28%;;Over 3.5 goals:ÿ;29%;;;Both teams scored:ÿ;;49%;2018;England;1
380 matches played / 380;;;Home wins:ÿ;48%;;Over 1.5 goals:ÿ;80%;Goals:ÿ;1072;Home goals per match:ÿ;;1.57;2019;England;1
Aug;;May;Draws:ÿ;19%;;Over 2.5 goals:ÿ;54%;Goals per match:ÿ;2.82;Away goals per match:ÿ;;1.25;2019;England;1
100.0% completed ;;;Away wins:ÿ;34%;;Over 3.5 goals:ÿ;32%;;;Both teams scored:ÿ;;51%;2019;England;1
380 matches played / 380;;;Home wins:ÿ;45%;;Over 1.5 goals:ÿ;80%;Goals:ÿ;1034;Home goals per match:ÿ;;1.52;2020;England;1
Aug;;Jul;Draws:ÿ;24%;;Over 2.5 goals:ÿ;52%;Goals per match:ÿ;2.72;Away goals per match:ÿ;;1.21;2020;England;1
100.0% completed ;;;Away wins:ÿ;31%;;Over 3.5 goals:ÿ;28%;;;Both teams scored:ÿ;;51%;2020;England;1
306 matches played / 306;;;Home wins:ÿ;42%;;Over 1.5 goals:ÿ;82%;Goals:ÿ;898;Home goals per match:ÿ;;1.59;2013;;
Aug;;May;Draws:ÿ;25%;;Over 2.5 goals:ÿ;56%;Goals per match:ÿ;2.93;Away goals per match:ÿ;;1.34;2013;;
100.0% completed ;;;Away wins:ÿ;32%;;Over 3.5 goals:ÿ;33%;;;Both teams scored:ÿ;;57%;2013;;
306 matches played / 306;;;Home wins:ÿ;47%;;Over 1.5 goals:ÿ;85%;Goals:ÿ;967;Home goals per match:ÿ;;1.75;2014;;
Aug;;May;Draws:ÿ;21%;;Over 2.5 goals:ÿ;61%;Goals per match:ÿ;3.16;Away goals per match:ÿ;;1.41;2014;;
100.0% completed ;;;Away wins:ÿ;32%;;Over 3.5 goals:ÿ;39%;;;Both teams scored:ÿ;;58%;2014;;
306 matches played / 306;;;Home wins:ÿ;47%;;Over 1.5 goals:ÿ;75%;Goals:ÿ;843;Home goals per match:ÿ;;1.59;2015;;
