Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
19. Jul;Arka Gdynia;Jagiellonia;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
19. Jul;LKS Lodz;Lechia Gdansk;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
20. Jul;Piast Gliwice;Lech Poznan;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20. Jul;Rakow Czest.;Korona Kielce;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
20. Jul;Wisla Krakow;Slask Wroclaw;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
21. Jul;Legia Warsaw;Pogon Szczecin;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
21. Jul;Zaglebie Lubin;KS Cracovia;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
22. Jul;Wisla Plock;Gornik Zabrze;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
26. Jul;Gornik Zabrze;Zaglebie Lubin;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
26. Jul;Lech Poznan;Wisla Plock;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
27. Jul;Jagiellonia;Rakow Czest.;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
27. Jul;KS Cracovia;LKS Lodz;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
28. Jul;Korona Kielce;Legia Warsaw;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
28. Jul;Lechia Gdansk;Wisla Krakow;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Jul;Slask Wroclaw;Piast Gliwice;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
29. Jul;Pogon Szczecin;Arka Gdynia;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
02. Aug;Arka Gdynia;Korona Kielce;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
02. Aug;Zaglebie Lubin;Jagiellonia;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
03. Aug;LKS Lodz;Lech Poznan;1;2;Away win;+;+;-;3;+;-;-;1;2;V;0
03. Aug;Rakow Czest.;KS Cracovia;1;3;Away win;+;+;+;4;+;-;-;1;2;V;0
04. Aug;Legia Warsaw;Slask Wroclaw;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
04. Aug;Piast Gliwice;Pogon Szczecin;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
04. Aug;Wisla Plock;Lechia Gdansk;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
05. Aug;Wisla Krakow;Gornik Zabrze;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
09. Aug;Lech Poznan;Slask Wroclaw;1;3;Away win;+;+;+;4;+;-;-;1;3;V;0
10. Aug;Gornik Zabrze;Rakow Czest.;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Aug;Pogon Szczecin;Wisla Krakow;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Aug;Zaglebie Lubin;Arka Gdynia;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
11. Aug;KS Cracovia;Korona Kielce;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
11. Aug;LKS Lodz;Piast Gliwice;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
12. Aug;Lechia Gdansk;Jagiellonia;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
16. Aug;Wisla Krakow;LKS Lodz;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
17. Aug;Arka Gdynia;Lech Poznan;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
17. Aug;Jagiellonia;Gornik Zabrze;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
17. Aug;Slask Wroclaw;KS Cracovia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
18. Aug;Legia Warsaw;Zaglebie Lubin;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
18. Aug;Piast Gliwice;Wisla Plock;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
18. Aug;Rakow Czest.;Lechia Gdansk;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
19. Aug;Korona Kielce;Pogon Szczecin;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
23. Aug;Jagiellonia;Wisla Krakow;3;2;Home win;+;+;+;5;+;-;-;2;1;L;0
24. Aug;KS Cracovia;Arka Gdynia;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
24. Aug;Lechia Gdansk;Slask Wroclaw;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
24. Aug;Rakow Czest.;Lech Poznan;2;3;Away win;+;+;+;5;+;-;-;0;2;V;0
25. Aug;Gornik Zabrze;Korona Kielce;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
25. Aug;LKS Lodz;Legia Warsaw;2;3;Away win;+;+;+;5;+;-;-;1;0;L;0
25. Aug;Zaglebie Lubin;Piast Gliwice;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
26. Aug;Pogon Szczecin;Wisla Plock;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
30. Aug;Arka Gdynia;Gornik Zabrze;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
30. Aug;Korona Kielce;Jagiellonia;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
31. Aug;Piast Gliwice;Lechia Gdansk;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
31. Aug;Wisla Krakow;Zaglebie Lubin;4;2;Home win;+;+;+;6;+;-;-;2;2;L;0
31. Aug;Wisla Plock;LKS Lodz;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
01. Sep;Lech Poznan;KS Cracovia;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
01. Sep;Legia Warsaw;Rakow Czest.;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
01. Sep;Slask Wroclaw;Pogon Szczecin;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
13. Sep;Jagiellonia;Legia Warsaw;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
13. Sep;Zaglebie Lubin;Wisla Plock;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
14. Sep;Korona Kielce;Wisla Krakow;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
14. Sep;Lechia Gdansk;Lech Poznan;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
14. Sep;Rakow Czest.;Arka Gdynia;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
15. Sep;Gornik Zabrze;Slask Wroclaw;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Sep;Pogon Szczecin;LKS Lodz;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
16. Sep;KS Cracovia;Piast Gliwice;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
18. Sep;Wisla Plock;Legia Warsaw;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
20. Sep;Lech Poznan;Jagiellonia;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
20. Sep;Piast Gliwice;Rakow Czest.;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
21. Sep;Lechia Gdansk;Korona Kielce;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
21. Sep;LKS Lodz;Arka Gdynia;1;4;Away win;+;+;+;5;+;-;-;0;2;V;0
21. Sep;Slask Wroclaw;Zaglebie Lubin;4;4;Draw;+;+;+;8;+;-;-;2;2;L;0
22. Sep;KS Cracovia;Legia Warsaw;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
22. Sep;Pogon Szczecin;Gornik Zabrze;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
22. Sep;Wisla Plock;Wisla Krakow;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
27. Sep;Korona Kielce;Slask Wroclaw;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
28. Sep;Gornik Zabrze;Lech Poznan;1;3;Away win;+;+;+;4;+;-;-;1;2;V;0
28. Sep;Legia Warsaw;Lechia Gdansk;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
28. Sep;Rakow Czest.;Wisla Plock;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
29. Sep;Arka Gdynia;Piast Gliwice;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
29. Sep;Jagiellonia;Pogon Szczecin;2;3;Away win;+;+;+;5;+;-;-;1;0;L;0
29. Sep;Wisla Krakow;KS Cracovia;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
30. Sep;Zaglebie Lubin;LKS Lodz;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
4 Oct;Slask Wroclaw;Jagiellonia;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
4 Oct;Wisla Plock;Arka Gdynia;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
5 Oct;Lech Poznan;Wisla Krakow;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
5 Oct;Lechia Gdansk;Zaglebie Lubin;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
5 Oct;Pogon Szczecin;Rakow Czest.;1;2;Away win;+;+;-;3;+;-;-;1;2;L;0
6 Oct;KS Cracovia;Gornik Zabrze;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
6 Oct;LKS Lodz;Korona Kielce;4;1;Home win;+;+;+;5;+;-;-;2;1;L;0
6 Oct;Piast Gliwice;Legia Warsaw;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
18 Oct;Wisla Krakow;Piast Gliwice;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
18 Oct;Zaglebie Lubin;Pogon Szczecin;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
19 Oct;Jagiellonia;KS Cracovia;3;2;Home win;+;+;+;5;+;-;-;1;1;V;0
19 Oct;Korona Kielce;Wisla Plock;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
19 Oct;Legia Warsaw;Lech Poznan;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
20 Oct;Arka Gdynia;Lechia Gdansk;2;2;Draw;+;+;+;4;+;-;-;0;0;V;0
20 Oct;Gornik Zabrze;LKS Lodz;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
21 Oct;Rakow Czest.;Slask Wroclaw;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
25 Oct;KS Cracovia;Pogon Szczecin;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
25 Oct;Lech Poznan;Zaglebie Lubin;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
26 Oct;Lechia Gdansk;Gornik Zabrze;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
26 Oct;LKS Lodz;Rakow Czest.;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
26 Oct;Piast Gliwice;Korona Kielce;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
27 Oct;Legia Warsaw;Wisla Krakow;7;0;Home win;+;+;+;7;-;+;-;3;0;L;0
27 Oct;Slask Wroclaw;Arka Gdynia;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
27 Oct;Wisla Plock;Jagiellonia;3;1;Home win;+;+;+;4;+;-;-;1;0;L;0
02. Nov;Korona Kielce;Zaglebie Lubin;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
02. Nov;KS Cracovia;Lechia Gdansk;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
02. Nov;Pogon Szczecin;Lech Poznan;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
03. Nov;Arka Gdynia;Legia Warsaw;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
03. Nov;Gornik Zabrze;Piast Gliwice;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
03. Nov;Jagiellonia;LKS Lodz;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
