Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
16. Aug;Athletic Bilbao;FC Barcelona;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
17. Aug;Celta Vigo;Real Madrid;1;3;Away win;+;+;+;4;+;-;-;0;1;V;0
17. Aug;Leganes;Osasuna;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
17. Aug;Mallorca;Eibar;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
17. Aug;Valencia;Real Sociedad;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
17. Aug;Villarreal;Granada;4;4;Draw;+;+;+;8;+;-;-;1;1;L;0
18. Aug;Alaves;Levante;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
18. Aug;Atletico Madrid;Getafe;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
18. Aug;Espanyol;FC Sevilla;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
18. Aug;Real Betis;Valladolid;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
23. Aug;Granada;FC Sevilla;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
23. Aug;Levante;Villarreal;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
24. Aug;Celta Vigo;Valencia;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
24. Aug;Getafe;Athletic Bilbao;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
24. Aug;Osasuna;Eibar;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
24. Aug;Real Madrid;Valladolid;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
25. Aug;Alaves;Espanyol;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
25. Aug;FC Barcelona;Real Betis;5;2;Home win;+;+;+;7;+;-;-;1;1;V;0
25. Aug;Leganes;Atletico Madrid;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
25. Aug;Mallorca;Real Sociedad;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
30. Aug;Athletic Bilbao;Real Sociedad;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
