Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
19. Jul;Sion;FC Basel;1;4;Away win;+;+;+;5;+;-;-;1;1;V;0
20. Jul;FC Thun;Neuchatel Xamax;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
20. Jul;St. Gallen;Luzern;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
21. Jul;BSC Young Boys;Servette;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
21. Jul;FC Zurich;Lugano;0;4;Away win;+;+;+;4;-;-;+;0;3;V;0
27. Jul;FC Basel;St. Gallen;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
27. Jul;Servette;Sion;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Jul;Lugano;FC Thun;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Jul;Luzern;FC Zurich;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Jul;Neuchatel Xamax;BSC Young Boys;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
03. Aug;FC Thun;FC Basel;2;3;Away win;+;+;+;5;+;-;-;1;1;L;0
03. Aug;Sion;FC Zurich;3;1;Home win;+;+;+;4;+;-;-;1;1;L;0
04. Aug;BSC Young Boys;Lugano;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
04. Aug;Neuchatel Xamax;St. Gallen;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
04. Aug;Servette;Luzern;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
10. Aug;FC Basel;Servette;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
10. Aug;St. Gallen;BSC Young Boys;2;3;Away win;+;+;+;5;+;-;-;1;2;V;0
11. Aug;FC Zurich;Neuchatel Xamax;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
11. Aug;Lugano;Sion;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
11. Aug;Luzern;FC Thun;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
14. Aug;FC Zurich;St. Gallen;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
24. Aug;BSC Young Boys;FC Zurich;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
24. Aug;Neuchatel Xamax;FC Basel;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
25. Aug;FC Thun;Servette;0;4;Away win;+;+;+;4;-;-;+;0;2;V;0
25. Aug;Sion;Luzern;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
25. Aug;St. Gallen;Lugano;3;2;Home win;+;+;+;5;+;-;-;0;1;V;0
31. Aug;Servette;Neuchatel Xamax;2;2;Draw;+;+;+;4;+;-;-;0;2;V;0
01. Sep;FC Basel;Lugano;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
01. Sep;FC Thun;Sion;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
01. Sep;Luzern;BSC Young Boys;2;2;Draw;+;+;+;4;+;-;-;1;2;L;0
21. Sep;Neuchatel Xamax;Sion;1;3;Away win;+;+;+;4;+;-;-;1;1;V;0
