Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
16. Aug;Denizlispor;Galatasaray;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
17. Aug;Genclerbirligi;Rizespor;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
17. Aug;Kayserispor;Alanyaspor;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
17. Aug;Sivasspor;Besiktas;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
18. Aug;Goztepe;Antalyaspor;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
18. Aug;Kasimpasa;Trabzonspor;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
18. Aug;Konyaspor;Ankaragucu;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
18. Aug;Yeni Malatyaspo;Basaksehir;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
19. Aug;Fenerbahce;Gaziantep FK;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
23. Aug;Besiktas;Goztepe;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
24. Aug;Alanyaspor;Kasimpasa;4;1;Home win;+;+;+;5;+;-;-;1;1;L;0
24. Aug;Ankaragucu;Kayserispor;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
24. Aug;Basaksehir;Fenerbahce;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
25. Aug;Antalyaspor;Denizlispor;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
25. Aug;Galatasaray;Konyaspor;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
25. Aug;Rizespor;Sivasspor;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
25. Aug;Trabzonspor;Yeni Malatyaspo;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
26. Aug;Gaziantep FK;Genclerbirligi;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
30. Aug;Kasimpasa;Ankaragucu;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
30. Aug;Kayserispor;Galatasaray;2;3;Away win;+;+;+;5;+;-;-;1;0;L;0
31. Aug;Besiktas;Rizespor;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
31. Aug;Goztepe;Denizlispor;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
31. Aug;Konyaspor;Antalyaspor;2;2;Draw;+;+;+;4;+;-;-;0;1;V;0
01. Sep;Fenerbahce;Trabzonspor;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
01. Sep;Genclerbirligi;Basaksehir;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
01. Sep;Sivasspor;Gaziantep FK;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
01. Sep;Yeni Malatyaspo;Alanyaspor;2;3;Away win;+;+;+;5;+;-;-;0;3;V;0
13. Sep;Galatasaray;Kasimpasa;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
14. Sep;Antalyaspor;Kayserispor;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
14. Sep;Basaksehir;Sivasspor;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
14. Sep;Gaziantep FK;Besiktas;3;2;Home win;+;+;+;5;+;-;-;1;0;L;0
15. Sep;Ankaragucu;Yeni Malatyaspo;0;4;Away win;+;+;+;4;-;-;+;0;3;V;0
15. Sep;Denizlispor;Konyaspor;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
15. Sep;Rizespor;Goztepe;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
15. Sep;Trabzonspor;Genclerbirligi;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
16. Sep;Alanyaspor;Fenerbahce;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
20. Sep;Goztepe;Konyaspor;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
21. Sep;Fenerbahce;Ankaragucu;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
21. Sep;Kasimpasa;Antalyaspor;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
21. Sep;Kayserispor;Denizlispor;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
22. Sep;Genclerbirligi;Alanyaspor;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
22. Sep;Rizespor;Gaziantep FK;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
22. Sep;Yeni Malatyaspo;Galatasaray;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
23. Sep;Besiktas;Basaksehir;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
23. Sep;Sivasspor;Trabzonspor;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
27. Sep;Basaksehir;Rizespor;5;0;Home win;+;+;+;5;-;+;-;2;0;L;0
28. Sep;Alanyaspor;Sivasspor;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
28. Sep;Denizlispor;Kasimpasa;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
28. Sep;Galatasaray;Fenerbahce;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
29. Sep;Ankaragucu;Genclerbirligi;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
29. Sep;Antalyaspor;Yeni Malatyaspo;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
29. Sep;Konyaspor;Kayserispor;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
29. Sep;Trabzonspor;Besiktas;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
30. Sep;Gaziantep FK;Goztepe;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
4 Oct;Fenerbahce;Antalyaspor;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
4 Oct;Yeni Malatyaspo;Denizlispor;5;1;Home win;+;+;+;6;+;-;-;2;0;L;0
5 Oct;Genclerbirligi;Galatasaray;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
5 Oct;Goztepe;Kayserispor;4;0;Home win;+;+;+;4;-;+;-;3;0;L;0
5 Oct;Kasimpasa;Konyaspor;1;4;Away win;+;+;+;5;+;-;-;1;3;V;0
6 Oct;Besiktas;Alanyaspor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
6 Oct;Gaziantep FK;Basaksehir;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
6 Oct;Rizespor;Trabzonspor;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
6 Oct;Sivasspor;Ankaragucu;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
18 Oct;Galatasaray;Sivasspor;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
19 Oct;Ankaragucu;Besiktas;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
19 Oct;Antalyaspor;Genclerbirligi;0;6;Away win;+;+;+;6;-;-;+;0;5;V;0
19 Oct;Basaksehir;Goztepe;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
19 Oct;Trabzonspor;Gaziantep FK;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
20 Oct;Alanyaspor;Rizespor;5;2;Home win;+;+;+;7;+;-;-;2;0;L;0
20 Oct;Denizlispor;Fenerbahce;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
20 Oct;Kayserispor;Kasimpasa;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
21 Oct;Konyaspor;Yeni Malatyaspo;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
25 Oct;Rizespor;Ankaragucu;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
26 Oct;Fenerbahce;Konyaspor;5;1;Home win;+;+;+;6;+;-;-;3;1;L;0
26 Oct;Gaziantep FK;Alanyaspor;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
26 Oct;Sivasspor;Antalyaspor;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
27 Oct;Besiktas;Galatasaray;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
27 Oct;Genclerbirligi;Denizlispor;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
27 Oct;Goztepe;Kasimpasa;1;4;Away win;+;+;+;5;+;-;-;1;1;V;0
27 Oct;Yeni Malatyaspo;Kayserispor;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
28 Oct;Basaksehir;Trabzonspor;2;2;Draw;+;+;+;4;+;-;-;0;0;V;0
01. Nov;Galatasaray;Rizespor;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
02. Nov;Alanyaspor;Basaksehir;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
02. Nov;Antalyaspor;Besiktas;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
02. Nov;Konyaspor;Genclerbirligi;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
02. Nov;Trabzonspor;Goztepe;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
03. Nov;Denizlispor;Sivasspor;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
03. Nov;Kasimpasa;Yeni Malatyaspo;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
